q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40
I am a student at Solent University,Year 1,Agree,,,Disagree,Strongly agree,Disagree,150,10,75,2,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",20,2,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,"Assessable content,Digital learning and electronic content",,Nursing programme curriculum,,,Very,,Walking ,,,,Running ,Swimming,Cycling,31-90 minutes,2019-08-02
I am a student at Solent University,Year 1,Strongly agree,,,Agree,Strongly agree,Strongly agree,210,30,210,3,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",Yes,No,Seminars and workshops,,"Nursing programme curriculum,Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,,Average,,Running ,Cycling,Walking ,,Weights /cardio,PilAtes,Rowing,Under 30 minutes,2019-08-02
I am a student at Solent University,Year 1,Strongly agree,,,Agree,Agree,Agree,150,10,30,3,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Refrain from physical activity in presence of chronic disease such as heart disease or arthritis,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",90,2,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Seminars and workshops,Digital learning and electronic content",,"Individual interest and reading,Media, YouTube, internet",,,Average,,brisk walking,running,swimming,,jumping squats,forearm plank,climbing or cycling,90-149 minutes,2019-08-02
I am a student at Solent University,Year 1,Strongly agree,,,Unsure,Agree,Agree,150,30,60,2,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",180,4,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",Yes,Yes,Guided studies,,"Nursing programme curriculum,External conferences, informal teaching or presentations",,,Average,,Fast walking,Cycling,Swimming,,Running,Uphill cycling,Weight lifting,Under 30 minutes,2019-08-03
I am a student at Solent University,Year 1,Agree,,,Neutral,Agree,Agree,150,10,75,2,,True,False,False,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA)",Yes,Yes,"Stand-alone lectures,Seminars and workshops",,Nursing programme curriculum,,,Average,,Gardening,Brisk walking,Using stairs,,Running,Cycling ,Rowing,31-90 minutes,2019-08-04
I am a student at Solent University,Year 1,Agree,,,Agree,Agree,Strongly agree,150,30,20,3,,True,False,True,True,True,None of the above,39,2,None of the above,Yes,No,"Seminars and workshops,Digital learning and electronic content",,Nursing programme curriculum,,Dog walking   Cycling ,Somewhat,,Jogging,Cycling ,Swimming,,Rowing,Running,Cardio training ,90-149 minutes,2019-08-06
I am a student at Solent University,Year 1,Strongly agree,,,Agree,Strongly agree,Agree,150,10,75,3,,False,False,False,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,5,Should minimise the amount of time spent being sedentary (sitting) for extended periods,Yes,Yes,"Seminars and workshops,Digital learning and electronic content,Guided studies",,Nursing programme curriculum,,,Average,,Brisk walking,Jogging,Cleaning the house,,Gardening,Running,Swimming,31-90 minutes,2019-08-06
I am a student at the University of Stirling,Year 3,Strongly agree,,,,Strongly agree,,150,30,75,2,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"Nursing programme curriculum,Individual interest and reading,External conferences, informal teaching or presentations,Media, YouTube, internet,Through participating in physical activity or sport",,"weight training, track and field, muay thai ",Very,,brisk walking ,cycling ,water aerobics ,,sprinting ,swimming ,circuit training ,150+ minutes,2019-08-16
I am a student at the University of Stirling,Year 3,Agree,,,Neutral,Agree,Agree,150,10,75,3,,True,True,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",60,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA)",Yes,Yes,"Stand-alone lectures,Seminars and workshops",,"Nursing programme curriculum,Through participating in physical activity or sport",,None at present. Been too busy. Hoping to start gym cardio and weights and home again.,Average,,Walking up a gradient.,Cycling without killing yourself.,Light weights.,,Going on the elliptical to Muse.,Cycling to The Chemical Brothers.,Treadmill to Daft Punk.,31-90 minutes,2019-08-16
I am a student at the University of Stirling,Year 3,Agree,,,Disagree,Disagree,Disagree,90,20,10,3,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,4,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA)",No,Yes,Seminars and workshops,,"Nursing programme curriculum,Individual interest and reading",,,Average,,Running,Lifting weights,Jogging,,Lifting weights,,,31-90 minutes,2019-08-16
